Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_8192_4000_4096,Gemm_Hipblaslt_TN_9655,0.449173
GemmTunableOp_Half_TN,tn_8192_256_14336,Gemm_Hipblaslt_TN_9545,0.137304
GemmTunableOp_Half_TN,tn_8192_256_4096,Gemm_Rocblas_621286493,0.0427724
GemmTunableOp_Half_TN,tn_8192_4096_4096,Gemm_Rocblas_621286693,0.464015
GemmTunableOp_Half_TN,tn_5120_256_8192,Gemm_Rocblas_621286764,0.0587212
GemmTunableOp_Half_TN,tn_28672_232_8192,Gemm_Hipblaslt_TN_9540,0.289456
GemmStridedBatchedTunableOp_Half_TN,tn_16_16_128_B_32,Default,0.00625093
