Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_4096_836_2048,Gemm_Hipblaslt_TN_9604,0.0349801
GemmTunableOp_Half_TN,tn_14336_1778_4096,Gemm_Hipblaslt_TN_9697,0.367827
GemmTunableOp_Half_TN,tn_14336_1719_4096,Gemm_Hipblaslt_TN_9677,0.35706
GemmTunableOp_Half_TN,tn_4096_835_7168,Gemm_Hipblaslt_TN_9634,0.112909
GemmTunableOp_Half_TN,tn_4096_1854_7168,Gemm_Hipblaslt_TN_9137,0.206647
GemmTunableOp_Half_TN,tn_14336_878_4096,Gemm_Hipblaslt_TN_9697,0.183072
GemmTunableOp_Half_TN,tn_4096_1827_7168,Gemm_Hipblaslt_TN_9137,0.207708
GemmTunableOp_Half_TN,tn_3072_844_4096,Gemm_Hipblaslt_TN_9368,0.0529037
GemmTunableOp_Half_TN,tn_4096_1905_7168,Gemm_Hipblaslt_TN_9620,0.210837
GemmTunableOp_Half_TN,tn_4096_3571_7168,Gemm_Hipblaslt_TN_9677,0.346599
GemmTunableOp_Half_TN,tn_4096_1931_2048,Gemm_Hipblaslt_TN_9329,0.0653052
GemmTunableOp_Half_TN,tn_14336_935_4096,Gemm_Hipblaslt_TN_9697,0.186388
GemmTunableOp_Half_TN,tn_14336_1931_4096,Gemm_Hipblaslt_TN_9217,0.401207
GemmTunableOp_Half_TN,tn_4096_850_2048,Gemm_Hipblaslt_TN_9352,0.0352007
GemmTunableOp_Half_TN,tn_14336_956_4096,Gemm_Hipblaslt_TN_9192,0.188428
GemmTunableOp_Half_TN,tn_3072_866_4096,Gemm_Hipblaslt_TN_9352,0.0551074
GemmTunableOp_Half_TN,tn_4096_785_2048,Gemm_Hipblaslt_TN_9634,0.0343211
GemmTunableOp_Half_TN,tn_4096_3565_2048,Gemm_Hipblaslt_TN_9696,0.105534
GemmTunableOp_Half_TN,tn_3072_915_4096,Gemm_Hipblaslt_TN_9352,0.0573611
GemmTunableOp_Half_TN,tn_3072_913_4096,Gemm_Hipblaslt_TN_9546,0.057113
GemmTunableOp_Half_TN,tn_4096_1881_7168,Gemm_Hipblaslt_TN_9645,0.206305
GemmTunableOp_Half_TN,tn_4096_3569_2048,Gemm_Hipblaslt_TN_9683,0.105898
GemmTunableOp_Half_TN,tn_4096_1746_7168,Gemm_Hipblaslt_TN_9645,0.199803
GemmTunableOp_Half_TN,tn_3072_2636_4096,Gemm_Hipblaslt_TN_9620,0.124355
GemmTunableOp_Half_TN,tn_14336_72_4096,Gemm_Hipblaslt_TN_9495,0.0331541
GemmTunableOp_Half_TN,tn_4096_900_7168,Gemm_Hipblaslt_TN_9576,0.118877
GemmTunableOp_Half_TN,tn_4096_3546_2048,Gemm_Hipblaslt_TN_9896,0.104122
GemmTunableOp_Half_TN,tn_4096_844_7168,Gemm_Hipblaslt_TN_9158,0.110764
GemmTunableOp_Half_TN,tn_14336_811_4096,Gemm_Hipblaslt_TN_9697,0.177009
GemmTunableOp_Half_TN,tn_3072_906_4096,Gemm_Hipblaslt_TN_9352,0.0575989
GemmTunableOp_Half_TN,tn_3072_2592_4096,Gemm_Hipblaslt_TN_9645,0.121944
GemmTunableOp_Half_TN,tn_4096_7809_2048,Gemm_Hipblaslt_TN_9768,0.231083
GemmTunableOp_Half_TN,tn_14336_898_4096,Gemm_Hipblaslt_TN_9677,0.18325
GemmTunableOp_Half_TN,tn_3072_56_4096,Gemm_Rocblas_621286419,0.0106885
GemmTunableOp_Half_TN,tn_4096_851_2048,Gemm_Hipblaslt_TN_9354,0.0350861
GemmTunableOp_Half_TN,tn_14336_1614_4096,Gemm_Hipblaslt_TN_9697,0.351906
GemmTunableOp_Half_TN,tn_4096_1897_7168,Gemm_Hipblaslt_TN_9645,0.209355
GemmTunableOp_Half_TN,tn_4096_1644_7168,Gemm_Hipblaslt_TN_9607,0.184138
GemmTunableOp_Half_TN,tn_4096_1778_2048,Gemm_Hipblaslt_TN_9680,0.0627285
GemmTunableOp_Half_TN,tn_4096_1729_7168,Gemm_Hipblaslt_TN_9673,0.197251
GemmTunableOp_Half_TN,tn_4096_2606_7168,Gemm_Hipblaslt_TN_9672,0.269325
GemmTunableOp_Half_TN,tn_4096_136_7168,Gemm_Hipblaslt_TN_9472,0.035757
GemmTunableOp_Half_TN,tn_3072_852_4096,Gemm_Hipblaslt_TN_9047,0.05349
