Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_4096_3535_4096,Gemm_Hipblaslt_TN_9221,0.200883
GemmTunableOp_Half_TN,tn_22016_3430_4096,Gemm_Hipblaslt_TN_9827,1.06257
GemmTunableOp_Half_TN,tn_12288_2915_4096,Gemm_Rocblas_621286684,0.509656
GemmTunableOp_Half_TN,tn_4096_34_4096,Gemm_Rocblas_621286428,0.0125852
GemmTunableOp_Half_TN,tn_4096_3333_11008,Gemm_Rocblas_621294485,0.507101
GemmTunableOp_Half_TN,tn_12288_3669_4096,Gemm_Rocblas_621286678,0.622962
GemmTunableOp_Half_TN,tn_22016_2802_4096,Gemm_Hipblaslt_TN_9827,0.899041
GemmTunableOp_Half_TN,tn_4096_250_4096,Gemm_Rocblas_621294230,0.0262183
GemmTunableOp_Half_TN,tn_12288_236_4096,Gemm_Rocblas_621286478,0.0567734
GemmTunableOp_Half_TN,tn_32000_253_4096,Gemm_Hipblaslt_TN_9845,0.149471
GemmTunableOp_Half_TN,tn_22016_3843_4096,Gemm_Hipblaslt_TN_9832,1.23071
GemmTunableOp_Half_TN,tn_12288_3843_4096,Gemm_Rocblas_621286742,0.64712
GemmTunableOp_Half_TN,tn_4096_3843_11008,Gemm_Hipblaslt_TN_9827,0.568256
GemmTunableOp_Half_TN,tn_4096_243_11008,Gemm_Hipblaslt_TN_9303,0.0655266
GemmTunableOp_Half_TN,tn_4096_237_11008,Gemm_Hipblaslt_TN_9303,0.0641631
GemmTunableOp_Half_TN,tn_12288_3972_4096,Gemm_Rocblas_621286590,0.653086
GemmTunableOp_Half_TN,tn_4096_4083_4096,Gemm_Hipblaslt_TN_9768,0.227883
GemmTunableOp_Half_TN,tn_4096_3530_4096,Gemm_Hipblaslt_TN_9743,0.199329
GemmTunableOp_Half_TN,tn_4096_2898_11008,Gemm_Hipblaslt_TN_9709,0.446929
GemmTunableOp_Half_TN,tn_4096_233_11008,Gemm_Hipblaslt_TN_7627,0.0639179
GemmTunableOp_Half_TN,tn_22016_225_4096,Gemm_Hipblaslt_TN_9720,0.096063
GemmTunableOp_Half_TN,tn_32000_22_4096,Gemm_Rocblas_621294191,0.0522864
GemmTunableOp_Half_TN,tn_4096_2398_11008,Gemm_Hipblaslt_TN_9698,0.373354
GemmTunableOp_Half_TN,tn_4096_4035_4096,Gemm_Hipblaslt_TN_9768,0.226654
GemmTunableOp_Half_TN,tn_32000_244_4096,Gemm_Hipblaslt_TN_9745,0.149857
GemmTunableOp_Half_TN,tn_12288_1000_4096,Gemm_Hipblaslt_TN_9697,0.181568
GemmTunableOp_Half_TN,tn_4096_239_4096,Gemm_Rocblas_621286491,0.0259694
GemmTunableOp_Half_TN,tn_4096_234_11008,Gemm_Hipblaslt_TN_8879,0.0632156
GemmTunableOp_Half_TN,tn_12288_2958_4096,Gemm_Rocblas_621286684,0.512177
GemmTunableOp_Half_TN,tn_4096_4000_11008,Gemm_Rocblas_621286281,0.578878
GemmTunableOp_Half_TN,tn_22016_2866_4096,Gemm_Hipblaslt_TN_9841,0.906235
GemmTunableOp_Half_TN,tn_4096_2770_11008,Gemm_Hipblaslt_TN_9799,0.430204
GemmTunableOp_Half_TN,tn_12288_2978_4096,Gemm_Rocblas_621286684,0.513586
GemmTunableOp_Half_TN,tn_22016_3891_4096,Gemm_Hipblaslt_TN_9832,1.22293
GemmTunableOp_Half_TN,tn_12288_4021_4096,Gemm_Hipblaslt_TN_9220,0.658736
GemmTunableOp_Half_TN,tn_22016_247_4096,Gemm_Hipblaslt_TN_9641,0.0986421
GemmTunableOp_Half_TN,tn_12288_234_4096,Gemm_Rocblas_621294215,0.0577459
GemmTunableOp_Half_TN,tn_22016_2862_4096,Gemm_Hipblaslt_TN_9827,0.906812
GemmTunableOp_Half_TN,tn_12288_2798_4096,Gemm_Rocblas_621294426,0.49357
GemmTunableOp_Half_TN,tn_4096_3813_4096,Gemm_Hipblaslt_TN_9768,0.216069
GemmTunableOp_Half_TN,tn_12288_3267_4096,Gemm_Hipblaslt_TN_9677,0.565837
GemmTunableOp_Half_TN,tn_4096_9_11008,Gemm_Rocblas_621286312,0.0233867
GemmTunableOp_Half_TN,tn_32000_228_4096,Gemm_Hipblaslt_TN_9845,0.144104
GemmTunableOp_Half_TN,tn_22016_3717_4096,Gemm_Hipblaslt_TN_9841,1.13618
GemmTunableOp_Half_TN,tn_12288_2778_4096,Gemm_Rocblas_621294426,0.495978
GemmTunableOp_Half_TN,tn_12288_235_4096,Gemm_Rocblas_621286478,0.0569684
GemmTunableOp_Half_TN,tn_4096_2802_4096,Gemm_Hipblaslt_TN_9674,0.166152
GemmTunableOp_Half_TN,tn_12288_2946_4096,Gemm_Rocblas_621294426,0.510174
GemmTunableOp_Half_TN,tn_12288_4058_4096,Gemm_Rocblas_621294420,0.673271
GemmTunableOp_Half_TN,tn_4096_219_11008,Gemm_Hipblaslt_TN_7378,0.0586048
GemmTunableOp_Half_TN,tn_4096_3923_4096,Gemm_Hipblaslt_TN_9841,0.218843
GemmTunableOp_Half_TN,tn_12288_245_4096,Gemm_Rocblas_621286478,0.0579762
GemmTunableOp_Half_TN,tn_4096_220_4096,Gemm_Rocblas_621286491,0.0256608
GemmTunableOp_Half_TN,tn_4096_33_11008,Gemm_Rocblas_621286332,0.0268576
GemmTunableOp_Half_TN,tn_12288_2398_4096,Gemm_Hipblaslt_TN_9220,0.409398
GemmTunableOp_Half_TN,tn_4096_241_11008,Gemm_Hipblaslt_TN_8879,0.0651561
GemmTunableOp_Half_TN,tn_22016_3785_4096,Gemm_Hipblaslt_TN_9827,1.1476
GemmTunableOp_Half_TN,tn_4096_2894_4096,Gemm_Hipblaslt_TN_9566,0.170416
GemmTunableOp_Half_TN,tn_12288_217_4096,Gemm_Rocblas_621294215,0.057071
GemmTunableOp_Half_TN,tn_22016_244_4096,Gemm_Hipblaslt_TN_9720,0.097428
GemmTunableOp_Half_TN,tn_4096_34_11008,Gemm_Rocblas_621286332,0.0268375
GemmTunableOp_Half_TN,tn_22016_219_4096,Gemm_Hipblaslt_TN_9720,0.09498
GemmTunableOp_Half_TN,tn_4096_2866_4096,Gemm_Hipblaslt_TN_9672,0.166908
GemmTunableOp_Half_TN,tn_4096_3577_11008,Gemm_Rocblas_621286743,0.526286
GemmTunableOp_Half_TN,tn_22016_11_4096,Gemm_Rocblas_621294186,0.035228
GemmTunableOp_Half_TN,tn_12288_225_4096,Gemm_Rocblas_621286478,0.0566211
GemmTunableOp_Half_TN,tn_22016_3451_4096,Gemm_Hipblaslt_TN_9827,1.07707
GemmTunableOp_Half_TN,tn_4096_19_11008,Gemm_Rocblas_621294054,0.023523
GemmTunableOp_Half_TN,tn_22016_9_4096,Gemm_Rocblas_621294186,0.0353266
GemmTunableOp_Half_TN,tn_12288_251_4096,Gemm_Rocblas_621286478,0.0583451
GemmTunableOp_Half_TN,tn_12288_2786_4096,Gemm_Rocblas_621286684,0.494895
GemmTunableOp_Half_TN,tn_4096_2938_11008,Gemm_Hipblaslt_TN_9709,0.447695
GemmTunableOp_Half_TN,tn_22016_2915_4096,Gemm_Hipblaslt_TN_9827,0.903004
GemmTunableOp_Half_TN,tn_4096_11_4096,Gemm_Rocblas_621294130,0.0100431
GemmTunableOp_Half_TN,tn_12288_21_4096,Gemm_Rocblas_621294064,0.0224674
GemmTunableOp_Half_TN,tn_4096_246_11008,Gemm_Hipblaslt_TN_8879,0.0647122
GemmTunableOp_Half_TN,tn_22016_3621_4096,Gemm_Hipblaslt_TN_9827,1.11081
GemmTunableOp_Half_TN,tn_4096_233_4096,Gemm_Rocblas_621294168,0.0257831
GemmTunableOp_Half_TN,tn_32000_216_4096,Gemm_Hipblaslt_TN_9590,0.139119
GemmTunableOp_Half_TN,tn_4096_27_4096,Gemm_Rocblas_621286330,0.0115622
GemmTunableOp_Half_TN,tn_4096_3987_4096,Gemm_Hipblaslt_TN_9841,0.221735
GemmTunableOp_Half_TN,tn_22016_1293_4096,Gemm_Rocblas_621294455,0.448383
GemmTunableOp_Half_TN,tn_12288_227_4096,Gemm_Rocblas_621294215,0.0568654
GemmTunableOp_Half_TN,tn_4096_21_4096,Gemm_Rocblas_621294139,0.0109623
GemmTunableOp_Half_TN,tn_22016_22_4096,Gemm_Rocblas_621286346,0.0359403
GemmTunableOp_Half_TN,tn_4096_3535_11008,Gemm_Rocblas_621286743,0.526783
GemmTunableOp_Half_TN,tn_4096_3173_11008,Gemm_Hipblaslt_TN_9817,0.491829
GemmTunableOp_Half_TN,tn_12288_220_4096,Gemm_Rocblas_621294215,0.0563784
GemmTunableOp_Half_TN,tn_4096_29_11008,Gemm_Rocblas_621286305,0.0250826
GemmTunableOp_Half_TN,tn_4096_35_11008,Gemm_Rocblas_621286332,0.0274313
GemmTunableOp_Half_TN,tn_12288_36_4096,Gemm_Rocblas_621294171,0.0252905
GemmTunableOp_Half_TN,tn_12288_3621_4096,Gemm_Hipblaslt_TN_9677,0.597918
GemmTunableOp_Half_TN,tn_4096_8_4096,Gemm_Rocblas_621286300,0.00998498
GemmTunableOp_Half_TN,tn_4096_227_11008,Gemm_Hipblaslt_TN_8879,0.0612862
GemmTunableOp_Half_TN,tn_32000_30_4096,Gemm_Rocblas_621286346,0.0527233
GemmTunableOp_Half_TN,tn_12288_3577_4096,Gemm_Hipblaslt_TN_9743,0.595025
GemmTunableOp_Half_TN,tn_4096_3953_11008,Gemm_Hipblaslt_TN_9815,0.576814
GemmTunableOp_Half_TN,tn_4096_1261_11008,Gemm_Hipblaslt_TN_9148,0.231433
GemmTunableOp_Half_TN,tn_12288_241_4096,Gemm_Rocblas_621286478,0.0574092
GemmTunableOp_Half_TN,tn_12288_242_4096,Gemm_Rocblas_621286478,0.057809
GemmTunableOp_Half_TN,tn_32000_27_4096,Gemm_Rocblas_621294191,0.0524928
GemmTunableOp_Half_TN,tn_12288_3813_4096,Gemm_Rocblas_621294420,0.645509
GemmTunableOp_Half_TN,tn_4096_230_11008,Gemm_Hipblaslt_TN_9303,0.064209
GemmTunableOp_Half_TN,tn_4096_224_4096,Gemm_Rocblas_621286440,0.0250363
GemmTunableOp_Half_TN,tn_4096_223_4096,Gemm_Rocblas_621286491,0.0251378
GemmTunableOp_Half_TN,tn_32000_250_4096,Gemm_Hipblaslt_TN_9638,0.149937
GemmTunableOp_Half_TN,tn_22016_4021_4096,Gemm_Hipblaslt_TN_9832,1.25101
GemmTunableOp_Half_TN,tn_12288_250_4096,Gemm_Rocblas_621286478,0.0575596
GemmTunableOp_Half_TN,tn_4096_2834_4096,Gemm_Hipblaslt_TN_9674,0.165348
GemmTunableOp_Half_TN,tn_12288_216_4096,Gemm_Rocblas_621294215,0.056247
GemmTunableOp_Half_TN,tn_22016_2770_4096,Gemm_Hipblaslt_TN_9827,0.889592
GemmTunableOp_Half_TN,tn_32000_248_4096,Gemm_Hipblaslt_TN_9665,0.147262
GemmTunableOp_Half_TN,tn_12288_2866_4096,Gemm_Rocblas_621294426,0.500468
GemmTunableOp_Half_TN,tn_12288_2850_4096,Gemm_Rocblas_621294426,0.497091
GemmTunableOp_Half_TN,tn_4096_3843_4096,Gemm_Hipblaslt_TN_9827,0.218032
GemmTunableOp_Half_TN,tn_4096_250_11008,Gemm_Hipblaslt_TN_9303,0.066369
GemmTunableOp_Half_TN,tn_4096_234_4096,Gemm_Rocblas_621294230,0.0259609
GemmTunableOp_Half_TN,tn_4096_2958_11008,Gemm_Hipblaslt_TN_9689,0.452127
GemmTunableOp_Half_TN,tn_32000_21_4096,Gemm_Rocblas_621286346,0.0522984
GemmTunableOp_Half_TN,tn_32000_221_4096,Gemm_Hipblaslt_TN_9620,0.137854
GemmTunableOp_Half_TN,tn_22016_216_4096,Gemm_Hipblaslt_TN_9641,0.0950367
GemmTunableOp_Half_TN,tn_4096_238_4096,Gemm_Rocblas_621286440,0.0263398
GemmTunableOp_Half_TN,tn_4096_242_11008,Gemm_Hipblaslt_TN_8879,0.0650263
GemmTunableOp_Half_TN,tn_4096_235_11008,Gemm_Hipblaslt_TN_8879,0.0642724
GemmStridedBatchedTunableOp_Half_TN,tn_1021_1021_128_B_32,Gemm_Rocblas_621294536,0.0529556
GemmStridedBatchedTunableOp_Half_TN,tn_1048_1048_128_B_32,Gemm_Hipblaslt_TN_149,0.056004
GemmStridedBatchedTunableOp_Half_TN,tn_1458_1458_128_B_32,Gemm_Rocblas_621294110,0.0926064
GemmStridedBatchedTunableOp_Half_TN,tn_1367_1367_128_B_32,Gemm_Rocblas_621286412,0.0853859
GemmStridedBatchedTunableOp_Half_TN,tn_1489_1489_128_B_32,Gemm_Hipblaslt_TN_6942,0.096901
GemmStridedBatchedTunableOp_Half_TN,tn_1415_1415_128_B_32,Gemm_Rocblas_621286413,0.0908974
GemmStridedBatchedTunableOp_Half_TN,tn_1377_1377_128_B_32,Gemm_Rocblas_621294725,0.0869679
GemmStridedBatchedTunableOp_Half_TN,tn_1479_1479_128_B_32,Gemm_Rocblas_621294106,0.0971239
GemmStridedBatchedTunableOp_Half_TN,tn_1469_1469_128_B_32,Gemm_Rocblas_621286397,0.0952156
GemmStridedBatchedTunableOp_Half_TN,tn_1345_1345_128_B_32,Gemm_Rocblas_621294109,0.0835429
GemmStridedBatchedTunableOp_Half_TN,tn_1219_1219_128_B_32,Gemm_Rocblas_621294725,0.0713163
GemmStridedBatchedTunableOp_Half_TN,tn_1207_1207_128_B_32,Gemm_Rocblas_621294725,0.0667705
