Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_28672_6979_4096,Gemm_Hipblaslt_TN_159,2.89171
GemmTunableOp_Half_TN,tn_4096_5447_4096,Gemm_Rocblas_621294426,0.336887
GemmTunableOp_Half_TN,tn_4096_3581_4096,Gemm_Hipblaslt_TN_9682,0.205862
GemmTunableOp_Half_TN,tn_4096_1796_4096,Gemm_Hipblaslt_TN_9134,0.118639
GemmTunableOp_Half_TN,tn_6144_1796_4096,Gemm_Hipblaslt_TN_9799,0.166166
GemmTunableOp_Half_TN,tn_28672_1717_4096,Gemm_Hipblaslt_TN_9217,0.749827
GemmTunableOp_Half_TN,tn_4096_3309_14336,Gemm_Hipblaslt_TN_9743,0.660759
GemmTunableOp_Half_TN,tn_4096_1660_4096,Gemm_Hipblaslt_TN_9679,0.108063
GemmTunableOp_Half_TN,tn_128256_6_4096,Gemm_Rocblas_621294224,0.284735
GemmTunableOp_Half_TN,tn_4096_1658_14336,Gemm_Hipblaslt_TN_9671,0.363782
GemmTunableOp_Half_TN,tn_4096_5219_14336,Gemm_Hipblaslt_TN_9799,1.11238
GemmTunableOp_Half_TN,tn_4096_1593_14336,Gemm_Hipblaslt_TN_9679,0.35746
GemmTunableOp_Half_TN,tn_128256_171_4096,Gemm_Hipblaslt_TN_9752,0.513778
GemmTunableOp_Half_TN,tn_4096_1752_4096,Gemm_Hipblaslt_TN_9134,0.117197
GemmTunableOp_Half_TN,tn_4096_1615_4096,Gemm_Hipblaslt_TN_9671,0.105034
GemmTunableOp_Half_TN,tn_6144_7240_4096,Gemm_Rocblas_621286743,0.620956
GemmTunableOp_Half_TN,tn_6144_5223_4096,Gemm_Hipblaslt_TN_9704,0.451766
GemmTunableOp_Half_TN,tn_6144_1967_4096,Gemm_Hipblaslt_TN_9697,0.17963
GemmTunableOp_Half_TN,tn_6144_48_4096,Gemm_Rocblas_621294061,0.0156684
GemmTunableOp_Half_TN,tn_6144_1717_4096,Gemm_Hipblaslt_TN_9799,0.158466
GemmTunableOp_Half_TN,tn_28672_3647_4096,Gemm_Hipblaslt_TN_9832,1.49545
GemmTunableOp_Half_TN,tn_4096_7033_4096,Gemm_Hipblaslt_TN_9743,0.404946
GemmTunableOp_Half_TN,tn_6144_1620_4096,Gemm_Hipblaslt_TN_9570,0.150935
GemmTunableOp_Half_TN,tn_6144_7730_4096,Gemm_Rocblas_621294484,0.670305
GemmTunableOp_Half_TN,tn_28672_1931_4096,Gemm_Hipblaslt_TN_9846,0.856427
GemmTunableOp_Half_TN,tn_28672_256_4096,Gemm_Rocblas_621294324,0.121344
GemmTunableOp_Half_TN,tn_6144_5512_4096,Gemm_Rocblas_621286693,0.466256
GemmTunableOp_Half_TN,tn_4096_1871_14336,Gemm_Hipblaslt_TN_9645,0.411732
GemmTunableOp_Half_TN,tn_4096_1805_14336,Gemm_Hipblaslt_TN_9620,0.408866
GemmTunableOp_Half_TN,tn_28672_3651_4096,Gemm_Hipblaslt_TN_9827,1.53012
GemmTunableOp_Half_TN,tn_28672_3645_4096,Gemm_Hipblaslt_TN_9832,1.50475
GemmTunableOp_Half_TN,tn_28672_6920_4096,Gemm_Hipblaslt_TN_9944,2.91586
GemmTunableOp_Half_TN,tn_4096_1934_14336,Gemm_Hipblaslt_TN_9645,0.423114
GemmTunableOp_Half_TN,tn_4096_1934_4096,Gemm_Hipblaslt_TN_9645,0.124297
GemmTunableOp_Half_TN,tn_4096_7118_14336,Gemm_Hipblaslt_TN_9743,1.46735
GemmTunableOp_Half_TN,tn_6144_64_4096,Gemm_Rocblas_621286428,0.0156846
GemmTunableOp_Half_TN,tn_12288_2385_4096,Gemm_Rocblas_621294484,0.423928
GemmTunableOp_Half_TN,tn_4096_7050_4096,Gemm_Hipblaslt_TN_9743,0.409607
GemmTunableOp_Half_TN,tn_28672_7403_4096,Gemm_Hipblaslt_TN_159,2.9529
GemmTunableOp_Half_TN,tn_4096_1879_14336,Gemm_Hipblaslt_TN_9645,0.41633
GemmTunableOp_Half_TN,tn_6144_5723_4096,Gemm_Rocblas_621294426,0.511866
GemmTunableOp_Half_TN,tn_4096_141_4096,Gemm_Hipblaslt_TN_9474,0.0214404
GemmTunableOp_Half_TN,tn_4096_6788_14336,Gemm_Hipblaslt_TN_9696,1.42208
GemmTunableOp_Half_TN,tn_6144_1883_4096,Gemm_Rocblas_621294425,0.168468
GemmTunableOp_Half_TN,tn_6144_3688_4096,Gemm_Rocblas_621286684,0.338238
GemmTunableOp_Half_TN,tn_4096_5204_4096,Gemm_Rocblas_621294320,0.327222
GemmTunableOp_Half_TN,tn_28672_1603_4096,Gemm_Rocblas_621294420,0.729961
GemmTunableOp_Half_TN,tn_28672_3379_4096,Gemm_Hipblaslt_TN_9841,1.39617
GemmTunableOp_Half_TN,tn_28672_1847_4096,Gemm_Hipblaslt_TN_9683,0.810764
GemmTunableOp_Half_TN,tn_6144_1882_4096,Gemm_Rocblas_621294425,0.170203
GemmTunableOp_Half_TN,tn_4096_1764_4096,Gemm_Hipblaslt_TN_9134,0.116897
GemmTunableOp_Half_TN,tn_4096_1872_4096,Gemm_Hipblaslt_TN_9645,0.12288
GemmTunableOp_Half_TN,tn_4096_1961_4096,Gemm_Hipblaslt_TN_9645,0.125777
GemmTunableOp_Half_TN,tn_4096_1771_14336,Gemm_Hipblaslt_TN_9645,0.395274
GemmTunableOp_Half_TN,tn_128256_182_4096,Gemm_Hipblaslt_TN_9857,0.519471
GemmTunableOp_Half_TN,tn_6144_3682_4096,Gemm_Rocblas_621286684,0.339497
GemmTunableOp_Half_TN,tn_28672_1623_4096,Gemm_Hipblaslt_TN_9730,0.732711
GemmTunableOp_Half_TN,tn_4096_3691_4096,Gemm_Hipblaslt_TN_9827,0.214104
GemmTunableOp_Half_TN,tn_4096_3640_14336,Gemm_Hipblaslt_TN_9814,0.710021
GemmTunableOp_Half_TN,tn_28672_1636_4096,Gemm_Hipblaslt_TN_9730,0.736774
GemmTunableOp_Half_TN,tn_28672_5068_4096,Gemm_Hipblaslt_TN_9849,2.14041
GemmTunableOp_Half_TN,tn_4096_7190_4096,Gemm_Hipblaslt_TN_9743,0.422844
GemmTunableOp_Half_TN,tn_6144_1636_4096,Gemm_Rocblas_621294495,0.15447
GemmTunableOp_Half_TN,tn_4096_16_14336,Gemm_Rocblas_621286312,0.024414
GemmTunableOp_Half_TN,tn_28672_3791_4096,Gemm_Hipblaslt_TN_9841,1.5728
GemmTunableOp_Half_TN,tn_4096_1588_14336,Gemm_Hipblaslt_TN_9671,0.358857
GemmTunableOp_Half_TN,tn_128256_10_4096,Gemm_Hipblaslt_TN_9405,0.289236
GemmTunableOp_Half_TN,tn_4096_3496_4096,Gemm_Hipblaslt_TN_9814,0.200605
GemmTunableOp_Half_TN,tn_4096_1708_14336,Gemm_Hipblaslt_TN_9671,0.37142
GemmTunableOp_Half_TN,tn_4096_3629_14336,Gemm_Hipblaslt_TN_9187,0.705042
GemmTunableOp_Half_TN,tn_6144_5285_4096,Gemm_Hipblaslt_TN_9190,0.455851
GemmTunableOp_Half_TN,tn_28672_1787_4096,Gemm_Hipblaslt_TN_9217,0.759021
GemmTunableOp_Half_TN,tn_4096_3557_4096,Gemm_Hipblaslt_TN_9743,0.204004
GemmTunableOp_Half_TN,tn_4096_1807_4096,Gemm_Hipblaslt_TN_9645,0.121059
GemmTunableOp_Half_TN,tn_4096_1933_4096,Gemm_Hipblaslt_TN_9645,0.123017
GemmTunableOp_Half_TN,tn_4096_6902_4096,Gemm_Hipblaslt_TN_9958,0.404225
GemmTunableOp_Half_TN,tn_28672_1801_4096,Gemm_Hipblaslt_TN_9683,0.801282
GemmTunableOp_Half_TN,tn_4096_104_14336,Gemm_Hipblaslt_TN_7160,0.0441034
GemmTunableOp_Half_TN,tn_28672_1769_4096,Gemm_Hipblaslt_TN_9190,0.758745
GemmTunableOp_Half_TN,tn_28672_3630_4096,Gemm_Hipblaslt_TN_9832,1.51625
GemmTunableOp_Half_TN,tn_6144_1826_4096,Gemm_Rocblas_621294425,0.166861
GemmTunableOp_Half_TN,tn_28672_3508_4096,Gemm_Hipblaslt_TN_9827,1.40657
GemmTunableOp_Half_TN,tn_4096_1605_4096,Gemm_Hipblaslt_TN_9679,0.105548
GemmTunableOp_Half_TN,tn_4096_3600_14336,Gemm_Hipblaslt_TN_9139,0.707674
GemmTunableOp_Half_TN,tn_22016_2305_4096,Gemm_Hipblaslt_TN_9846,0.800987
GemmTunableOp_Half_TN,tn_4096_8192_4096,Gemm_Rocblas_621286281,0.467393
GemmTunableOp_Half_TN,tn_6144_3562_4096,Gemm_Rocblas_621294306,0.323775
GemmTunableOp_Half_TN,tn_4096_3562_14336,Gemm_Hipblaslt_TN_9743,0.693107
GemmTunableOp_Half_TN,tn_6144_3420_4096,Gemm_Hipblaslt_TN_9570,0.316684
GemmTunableOp_Half_TN,tn_4096_3219_4096,Gemm_Hipblaslt_TN_9187,0.189939
GemmTunableOp_Half_TN,tn_6144_1820_4096,Gemm_Rocblas_621286683,0.164083
GemmTunableOp_Half_TN,tn_28672_1928_4096,Gemm_Hipblaslt_TN_9846,0.859433
GemmTunableOp_Half_TN,tn_4096_1820_4096,Gemm_Hipblaslt_TN_9602,0.119262
GemmTunableOp_Half_TN,tn_22016_2257_4096,Gemm_Hipblaslt_TN_9832,0.758299
GemmTunableOp_Half_TN,tn_4096_3515_4096,Gemm_Hipblaslt_TN_9743,0.203077
