Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_6144_1799_4096,Gemm_Rocblas_621294447,0.164795
GemmTunableOp_Half_TN,tn_6144_1608_4096,Gemm_Rocblas_621294306,0.15406
GemmTunableOp_Half_TN,tn_6144_16_4096,Gemm_Rocblas_621286273,0.0129757
GemmTunableOp_Half_TN,tn_4096_3581_14336,Gemm_Hipblaslt_TN_9743,0.689059
GemmTunableOp_Half_TN,tn_28672_1796_4096,Gemm_Hipblaslt_TN_9832,0.794148
GemmTunableOp_Half_TN,tn_6144_1789_4096,Gemm_Hipblaslt_TN_9799,0.164545
GemmTunableOp_Half_TN,tn_4096_1789_4096,Gemm_Hipblaslt_TN_9134,0.116994
GemmTunableOp_Half_TN,tn_4096_1708_4096,Gemm_Hipblaslt_TN_9671,0.108474
GemmTunableOp_Half_TN,tn_128256_172_4096,Gemm_Hipblaslt_TN_9952,0.516598
GemmTunableOp_Half_TN,tn_4096_5089_4096,Gemm_Rocblas_621286580,0.316161
GemmTunableOp_Half_TN,tn_4096_6800_4096,Gemm_Hipblaslt_TN_9743,0.391794
GemmTunableOp_Half_TN,tn_6144_1771_4096,Gemm_Hipblaslt_TN_9691,0.164215
GemmTunableOp_Half_TN,tn_4096_1748_14336,Gemm_Hipblaslt_TN_9645,0.393012
GemmTunableOp_Half_TN,tn_6144_1863_4096,Gemm_Hipblaslt_TN_9691,0.166673
GemmTunableOp_Half_TN,tn_6144_5223_4096,Gemm_Hipblaslt_TN_9655,0.44462
GemmTunableOp_Half_TN,tn_6144_5723_4096,Gemm_Hipblaslt_TN_9690,0.50734
GemmTunableOp_Half_TN,tn_6144_1967_4096,Gemm_Hipblaslt_TN_9697,0.179149
GemmTunableOp_Half_TN,tn_6144_1628_4096,Gemm_Hipblaslt_TN_9570,0.15089
GemmTunableOp_Half_TN,tn_6144_5605_4096,Gemm_Rocblas_621286575,0.506304
GemmTunableOp_Half_TN,tn_4096_5413_4096,Gemm_Hipblaslt_TN_9691,0.328443
GemmTunableOp_Half_TN,tn_6144_1620_4096,Gemm_Hipblaslt_TN_9570,0.152992
GemmTunableOp_Half_TN,tn_4096_1731_14336,Gemm_Hipblaslt_TN_9645,0.394111
GemmTunableOp_Half_TN,tn_4096_3768_4096,Gemm_Rocblas_621294030,0.212079
GemmTunableOp_Half_TN,tn_28672_1771_4096,Gemm_Hipblaslt_TN_9217,0.74249
GemmTunableOp_Half_TN,tn_4096_1916_4096,Gemm_Hipblaslt_TN_9645,0.122095
GemmTunableOp_Half_TN,tn_4096_3645_4096,Gemm_Hipblaslt_TN_9814,0.20279
GemmTunableOp_Half_TN,tn_4096_1743_14336,Gemm_Hipblaslt_TN_9645,0.394377
GemmTunableOp_Half_TN,tn_6144_5512_4096,Gemm_Hipblaslt_TN_9768,0.456862
GemmTunableOp_Half_TN,tn_4096_1646_4096,Gemm_Hipblaslt_TN_9359,0.105189
GemmTunableOp_Half_TN,tn_4096_1946_14336,Gemm_Hipblaslt_TN_9645,0.422429
GemmTunableOp_Half_TN,tn_4096_1946_4096,Gemm_Hipblaslt_TN_9134,0.124674
GemmTunableOp_Half_TN,tn_4096_1871_14336,Gemm_Hipblaslt_TN_9645,0.415325
GemmTunableOp_Half_TN,tn_6144_1684_4096,Gemm_Rocblas_621286753,0.156579
GemmTunableOp_Half_TN,tn_4096_5442_4096,Gemm_Rocblas_621294320,0.331766
GemmTunableOp_Half_TN,tn_128256_133_4096,Gemm_Hipblaslt_TN_9108,0.470177
GemmTunableOp_Half_TN,tn_6144_5680_4096,Gemm_Rocblas_621286575,0.506675
GemmTunableOp_Half_TN,tn_4096_1707_14336,Gemm_Hipblaslt_TN_9790,0.368849
GemmTunableOp_Half_TN,tn_6144_3701_4096,Gemm_Rocblas_621286575,0.337078
GemmTunableOp_Half_TN,tn_28672_7104_4096,Gemm_Hipblaslt_TN_9898,2.8795
GemmTunableOp_Half_TN,tn_128256_154_4096,Gemm_Hipblaslt_TN_9108,0.481307
GemmTunableOp_Half_TN,tn_128256_182_4096,Gemm_Hipblaslt_TN_9683,0.523535
GemmTunableOp_Half_TN,tn_6144_3791_4096,Gemm_Hipblaslt_TN_9690,0.339203
GemmTunableOp_Half_TN,tn_4096_1780_4096,Gemm_Hipblaslt_TN_9134,0.116595
GemmTunableOp_Half_TN,tn_8192_2208_28672,Gemm_Hipblaslt_TN_9762,2.10085
GemmTunableOp_Half_TN,tn_6144_1883_4096,Gemm_Rocblas_621294425,0.168737
GemmTunableOp_Half_TN,tn_6144_136_4096,Gemm_Rocblas_621286440,0.0263293
GemmTunableOp_Half_TN,tn_28672_1825_4096,Gemm_Hipblaslt_TN_9832,0.798637
GemmTunableOp_Half_TN,tn_4096_3468_14336,Gemm_Hipblaslt_TN_9187,0.676644
GemmTunableOp_Half_TN,tn_28672_1827_4096,Gemm_Hipblaslt_TN_9683,0.796844
GemmTunableOp_Half_TN,tn_4096_1970_4096,Gemm_Hipblaslt_TN_9645,0.124786
GemmTunableOp_Half_TN,tn_4096_128_14336,Gemm_Hipblaslt_TN_7160,0.0469777
GemmTunableOp_Half_TN,tn_4096_5273_14336,Gemm_Hipblaslt_TN_9799,1.09477
GemmTunableOp_Half_TN,tn_10240_2017_8192,Gemm_Rocblas_621294310,0.60685
GemmTunableOp_Half_TN,tn_10240_2366_8192,Gemm_Hipblaslt_TN_9209,0.678446
GemmTunableOp_Half_TN,tn_8192_55_8192,Gemm_Hipblaslt_TN_7484,0.0388364
GemmTunableOp_Half_TN,tn_4096_5583_4096,Gemm_Hipblaslt_TN_9672,0.337534
GemmTunableOp_Half_TN,tn_128256_143_4096,Gemm_Hipblaslt_TN_9108,0.472541
GemmTunableOp_Half_TN,tn_28672_3562_4096,Gemm_Hipblaslt_TN_9827,1.38468
GemmTunableOp_Half_TN,tn_6144_1928_4096,Gemm_Rocblas_621294489,0.174819
GemmTunableOp_Half_TN,tn_6144_7225_4096,Gemm_Hipblaslt_TN_9814,0.605343
GemmTunableOp_Half_TN,tn_4096_1593_4096,Gemm_Hipblaslt_TN_9587,0.105095
GemmTunableOp_Half_TN,tn_4096_1838_14336,Gemm_Hipblaslt_TN_9680,0.410715
GemmTunableOp_Half_TN,tn_28672_3400_4096,Gemm_Hipblaslt_TN_9827,1.35744
GemmTunableOp_Half_TN,tn_6144_1648_4096,Gemm_Hipblaslt_TN_9570,0.152606
GemmTunableOp_Half_TN,tn_4096_1636_4096,Gemm_Hipblaslt_TN_9587,0.106085
GemmTunableOp_Half_TN,tn_4096_3373_14336,Gemm_Hipblaslt_TN_9677,0.663933
GemmTunableOp_Half_TN,tn_4096_7171_4096,Gemm_Hipblaslt_TN_9188,0.40943
GemmTunableOp_Half_TN,tn_8192_2178_28672,Gemm_Hipblaslt_TN_9762,2.07222
GemmTunableOp_Half_TN,tn_4096_3791_14336,Gemm_Hipblaslt_TN_9827,0.733112
GemmTunableOp_Half_TN,tn_28672_1916_4096,Gemm_Hipblaslt_TN_9832,0.811091
GemmTunableOp_Half_TN,tn_4096_1620_14336,Gemm_Hipblaslt_TN_9265,0.36226
GemmTunableOp_Half_TN,tn_6144_5273_4096,Gemm_Hipblaslt_TN_9933,0.445202
GemmTunableOp_Half_TN,tn_4096_1600_14336,Gemm_Hipblaslt_TN_9671,0.359645
GemmTunableOp_Half_TN,tn_4096_1805_14336,Gemm_Hipblaslt_TN_9792,0.409923
GemmTunableOp_Half_TN,tn_6144_1802_4096,Gemm_Hipblaslt_TN_9799,0.163263
GemmTunableOp_Half_TN,tn_4096_7033_4096,Gemm_Hipblaslt_TN_9743,0.395948
GemmTunableOp_Half_TN,tn_6144_3855_4096,Gemm_Rocblas_621286575,0.345488
GemmTunableOp_Half_TN,tn_4096_1699_4096,Gemm_Hipblaslt_TN_9265,0.10892
GemmTunableOp_Half_TN,tn_4096_1610_14336,Gemm_Hipblaslt_TN_9180,0.361707
GemmTunableOp_Half_TN,tn_4096_1847_14336,Gemm_Hipblaslt_TN_9680,0.412407
GemmTunableOp_Half_TN,tn_8192_2129_28672,Gemm_Hipblaslt_TN_9762,2.05368
GemmTunableOp_Half_TN,tn_4096_1769_14336,Gemm_Hipblaslt_TN_9645,0.396084
GemmTunableOp_Half_TN,tn_4096_1748_4096,Gemm_Hipblaslt_TN_9645,0.116223
GemmTunableOp_Half_TN,tn_6144_5052_4096,Gemm_Hipblaslt_TN_9704,0.431889
GemmTunableOp_Half_TN,tn_4096_1826_4096,Gemm_Hipblaslt_TN_9645,0.118914
GemmTunableOp_Half_TN,tn_4096_1605_14336,Gemm_Hipblaslt_TN_9265,0.361147
GemmTunableOp_Half_TN,tn_4096_3562_4096,Gemm_Hipblaslt_TN_9743,0.201311
GemmTunableOp_Half_TN,tn_28672_1862_4096,Gemm_Hipblaslt_TN_9684,0.806134
GemmTunableOp_Half_TN,tn_6144_3507_4096,Gemm_Hipblaslt_TN_9691,0.319021
GemmTunableOp_Half_TN,tn_4096_3300_14336,Gemm_Hipblaslt_TN_9697,0.661141
GemmTunableOp_Half_TN,tn_4096_1763_14336,Gemm_Hipblaslt_TN_9645,0.395308
GemmTunableOp_Half_TN,tn_8192_2097_8192,Gemm_Hipblaslt_TN_9742,0.506062
GemmTunableOp_Half_TN,tn_4096_5436_14336,Gemm_Hipblaslt_TN_9799,1.14117
GemmTunableOp_Half_TN,tn_28672_1902_4096,Gemm_Hipblaslt_TN_9832,0.808746
GemmTunableOp_Half_TN,tn_28672_1684_4096,Gemm_Rocblas_621294420,0.727157
GemmTunableOp_Half_TN,tn_4096_1883_4096,Gemm_Hipblaslt_TN_9645,0.1211
GemmTunableOp_Half_TN,tn_32000_56_8192,Gemm_Hipblaslt_TN_9460,0.160651
GemmTunableOp_Half_TN,tn_4096_3450_14336,Gemm_Hipblaslt_TN_9192,0.672833
GemmTunableOp_Half_TN,tn_8192_4000_28672,Gemm_Rocblas_621294634,3.44483
GemmTunableOp_Half_TN,tn_6144_1735_4096,Gemm_Hipblaslt_TN_9691,0.158263
GemmTunableOp_Half_TN,tn_28672_1760_4096,Gemm_Rocblas_621294484,0.739617
GemmTunableOp_Half_TN,tn_4096_1824_4096,Gemm_Hipblaslt_TN_9602,0.120552
GemmTunableOp_Half_TN,tn_4096_1798_4096,Gemm_Hipblaslt_TN_9134,0.120362
GemmTunableOp_Half_TN,tn_4096_5204_14336,Gemm_Hipblaslt_TN_9799,1.09384
GemmTunableOp_Half_TN,tn_28672_6976_4096,Gemm_Hipblaslt_TN_9747,2.86759
GemmTunableOp_Half_TN,tn_28672_1875_4096,Gemm_Hipblaslt_TN_9684,0.799589
GemmTunableOp_Half_TN,tn_28672_1651_4096,Gemm_Rocblas_621294420,0.720677
GemmTunableOp_Half_TN,tn_57344_2270_8192,Gemm_Hipblaslt_TN_9757,4.0889
GemmTunableOp_Half_TN,tn_4096_1737_14336,Gemm_Hipblaslt_TN_9645,0.3948
GemmTunableOp_Half_TN,tn_4096_1702_4096,Gemm_Hipblaslt_TN_9607,0.107352
GemmTunableOp_Half_TN,tn_4096_3713_4096,Gemm_Hipblaslt_TN_9768,0.213882
GemmTunableOp_Half_TN,tn_4096_6841_4096,Gemm_Hipblaslt_TN_9743,0.395156
GemmTunableOp_Half_TN,tn_6144_5410_4096,Gemm_Hipblaslt_TN_9704,0.454766
GemmTunableOp_Half_TN,tn_8192_2315_28672,Gemm_Hipblaslt_TN_9649,2.2703
GemmTunableOp_Half_TN,tn_10240_2079_8192,Gemm_Hipblaslt_TN_9675,0.61512
GemmTunableOp_Half_TN,tn_28672_1757_4096,Gemm_Hipblaslt_TN_9217,0.74024
GemmTunableOp_Half_TN,tn_6144_1969_4096,Gemm_Hipblaslt_TN_9187,0.179076
GemmTunableOp_Half_TN,tn_4096_1969_14336,Gemm_Hipblaslt_TN_9645,0.422485
