Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_3072_8000_4096,Gemm_Rocblas_621294481,0.352286
GemmTunableOp_Half_TN,tn_3072_256_4096,Gemm_Rocblas_621294168,0.0224111
GemmTunableOp_Half_TN,tn_14336_8192_4096,Gemm_Hipblaslt_TN_9749,1.61754
GemmTunableOp_Half_TN,tn_3072_232_4096,Gemm_Rocblas_621294168,0.0224393
GemmTunableOp_Half_TN,tn_4096_232_2048,Gemm_Rocblas_621294168,0.0144776
GemmTunableOp_Half_TN,tn_14336_232_4096,Gemm_Hipblaslt_TN_9634,0.0653603
GemmStridedBatchedTunableOp_Half_TN,tn_32_32_128_B_16,Gemm_Rocblas_621286465,0.00593808
