Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmTunableOp_Half_TN,tn_128256_256_4096,Gemm_Rocblas_621294634,0.594108
GemmTunableOp_Half_TN,tn_4096_877_14336,Gemm_Hipblaslt_TN_9580,0.220126
GemmTunableOp_Half_TN,tn_28672_2750_4096,Gemm_Hipblaslt_TN_9184,1.17821
GemmTunableOp_Half_TN,tn_6144_895_4096,Gemm_Hipblaslt_TN_9253,0.0918069
GemmTunableOp_Half_TN,tn_4096_1854_4096,Gemm_Hipblaslt_TN_9645,0.11995
GemmTunableOp_Half_TN,tn_4096_1600_14336,Gemm_Hipblaslt_TN_9671,0.355399
GemmTunableOp_Half_TN,tn_4096_881_4096,Gemm_Hipblaslt_TN_9634,0.0664485
GemmTunableOp_Half_TN,tn_4096_844_14336,Gemm_Hipblaslt_TN_9580,0.222591
GemmTunableOp_Half_TN,tn_28672_1778_4096,Gemm_Hipblaslt_TN_9191,0.738301
GemmTunableOp_Half_TN,tn_4096_985_14336,Gemm_Hipblaslt_TN_9052,0.243459
GemmTunableOp_Half_TN,tn_28672_2703_4096,Gemm_Hipblaslt_TN_9847,1.16222
GemmTunableOp_Half_TN,tn_4096_3546_14336,Gemm_Hipblaslt_TN_9682,0.678795
GemmTunableOp_Half_TN,tn_4096_851_14336,Gemm_Hipblaslt_TN_9580,0.218535
GemmTunableOp_Half_TN,tn_4096_7266_14336,Gemm_Hipblaslt_TN_9814,1.44629
GemmTunableOp_Half_TN,tn_28672_1905_4096,Gemm_Hipblaslt_TN_9684,0.791949
GemmTunableOp_Half_TN,tn_4096_1886_14336,Gemm_Hipblaslt_TN_9645,0.409604
GemmTunableOp_Half_TN,tn_28672_915_4096,Gemm_Hipblaslt_TN_9683,0.387166
GemmTunableOp_Half_TN,tn_4096_1828_14336,Gemm_Hipblaslt_TN_9268,0.400717
GemmTunableOp_Half_TN,tn_4096_2872_4096,Gemm_Hipblaslt_TN_9566,0.165212
GemmTunableOp_Half_TN,tn_4096_2628_14336,Gemm_Hipblaslt_TN_9799,0.534456
GemmTunableOp_Half_TN,tn_6144_2571_4096,Gemm_Hipblaslt_TN_9746,0.217284
GemmTunableOp_Half_TN,tn_28672_2509_4096,Gemm_Hipblaslt_TN_9846,1.02913
GemmTunableOp_Half_TN,tn_6144_1697_4096,Gemm_Hipblaslt_TN_9570,0.154735
GemmTunableOp_Half_TN,tn_4096_2601_4096,Gemm_Hipblaslt_TN_9657,0.158818
GemmTunableOp_Half_TN,tn_4096_2732_14336,Gemm_Hipblaslt_TN_9799,0.556222
GemmTunableOp_Half_TN,tn_6144_820_4096,Gemm_Rocblas_621294520,0.0878289
GemmTunableOp_Half_TN,tn_6144_2630_4096,Gemm_Hipblaslt_TN_9827,0.214496
GemmTunableOp_Half_TN,tn_128256_168_4096,Gemm_Hipblaslt_TN_9752,0.508574
GemmTunableOp_Half_TN,tn_4096_907_4096,Gemm_Hipblaslt_TN_9634,0.0680254
GemmTunableOp_Half_TN,tn_28672_891_4096,Gemm_Hipblaslt_TN_9684,0.38483
GemmTunableOp_Half_TN,tn_6144_2773_4096,Gemm_Hipblaslt_TN_9763,0.256034
GemmTunableOp_Half_TN,tn_6144_796_4096,Gemm_Hipblaslt_TN_9357,0.0854073
GemmTunableOp_Half_TN,tn_6144_2719_4096,Gemm_Hipblaslt_TN_9565,0.252838
GemmTunableOp_Half_TN,tn_28672_887_4096,Gemm_Hipblaslt_TN_9683,0.384456
GemmTunableOp_Half_TN,tn_4096_929_14336,Gemm_Hipblaslt_TN_9589,0.231641
GemmTunableOp_Half_TN,tn_4096_912_14336,Gemm_Hipblaslt_TN_9604,0.230355
GemmTunableOp_Half_TN,tn_57344_115_8192,Gemm_Rocblas_621294214,0.347638
GemmTunableOp_Half_TN,tn_4096_906_4096,Gemm_Hipblaslt_TN_9576,0.0685457
GemmTunableOp_Half_TN,tn_6144_870_4096,Gemm_Hipblaslt_TN_9253,0.0910406
GemmTunableOp_Half_TN,tn_4096_1614_14336,Gemm_Hipblaslt_TN_9610,0.357366
GemmTunableOp_Half_TN,tn_6144_1718_4096,Gemm_Hipblaslt_TN_9570,0.153067
GemmTunableOp_Half_TN,tn_6144_1695_4096,Gemm_Hipblaslt_TN_9672,0.154151
GemmTunableOp_Half_TN,tn_4096_873_14336,Gemm_Hipblaslt_TN_9580,0.218366
GemmTunableOp_Half_TN,tn_28672_1755_4096,Gemm_Rocblas_621286678,0.736517
GemmTunableOp_Half_TN,tn_28672_835_4096,Gemm_Hipblaslt_TN_9684,0.377973
GemmTunableOp_Half_TN,tn_4096_2860_14336,Gemm_Hipblaslt_TN_9799,0.566811
GemmTunableOp_Half_TN,tn_4096_871_4096,Gemm_Hipblaslt_TN_9547,0.0648889
GemmTunableOp_Half_TN,tn_128256_226_4096,Gemm_Rocblas_621286892,0.58617
GemmTunableOp_Half_TN,tn_8192_131_8192,Gemm_Hipblaslt_TN_7561,0.0593538
GemmTunableOp_Half_TN,tn_28672_2601_4096,Gemm_Hipblaslt_TN_9827,1.07181
GemmTunableOp_Half_TN,tn_4096_888_4096,Gemm_Hipblaslt_TN_9634,0.066451
GemmTunableOp_Half_TN,tn_57344_1319_8192,Gemm_Hipblaslt_TN_9841,2.36383
GemmTunableOp_Half_TN,tn_4096_917_4096,Gemm_Hipblaslt_TN_9604,0.0671592
GemmTunableOp_Half_TN,tn_4096_1701_4096,Gemm_Hipblaslt_TN_9265,0.106806
GemmTunableOp_Half_TN,tn_28672_8000_4096,Gemm_Hipblaslt_TN_159,3.16196
