Validator,PT_VERSION,2.4.0
Validator,ROCM_VERSION,6.1.0.0-82-5fabb4c
Validator,HIPBLASLT_VERSION,0.7.0-1549b021
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.1.0-cefa4a9b-dirty
GemmStridedBatchedTunableOp_Half_TN,tn_1744_1744_128_B_16,Gemm_Rocblas_621286413,0.0687909
GemmStridedBatchedTunableOp_Half_TN,tn_1933_1933_128_B_16,Gemm_Rocblas_621294533,0.0888695
GemmStridedBatchedTunableOp_Half_TN,tn_1837_1837_128_B_16,Gemm_Hipblaslt_TN_7483,0.0810935
GemmStridedBatchedTunableOp_Half_TN,tn_1678_1678_128_B_16,Gemm_Rocblas_621286413,0.0698773
GemmStridedBatchedTunableOp_Half_TN,tn_1658_1658_128_B_16,Gemm_Hipblaslt_TN_7483,0.0650812
GemmStridedBatchedTunableOp_Half_TN,tn_1605_1605_128_B_16,Gemm_Hipblaslt_TN_7483,0.0651042
GemmStridedBatchedTunableOp_Half_TN,tn_1927_1927_128_B_16,Gemm_Hipblaslt_TN_7519,0.0874739
GemmStridedBatchedTunableOp_Half_TN,tn_1878_1878_128_B_16,Gemm_Hipblaslt_TN_6942,0.0825022
GemmStridedBatchedTunableOp_Half_TN,tn_1850_1850_128_B_16,Gemm_Hipblaslt_TN_6942,0.0810251
GemmStridedBatchedTunableOp_Half_TN,tn_1926_1926_128_B_16,Gemm_Rocblas_621294533,0.087816
GemmStridedBatchedTunableOp_Half_TN,tn_1596_1596_128_B_16,Gemm_Rocblas_621286413,0.0652563
GemmStridedBatchedTunableOp_Half_TN,tn_1880_1880_128_B_16,Gemm_Hipblaslt_TN_150,0.0763518
GemmStridedBatchedTunableOp_Half_TN,tn_1801_1801_128_B_16,Gemm_Hipblaslt_TN_6942,0.0800065
GemmStridedBatchedTunableOp_Half_TN,tn_1831_1831_128_B_16,Gemm_Hipblaslt_TN_6942,0.0813428
GemmStridedBatchedTunableOp_Half_TN,tn_1864_1864_128_B_16,Gemm_Hipblaslt_TN_150,0.0767033
